num_arms,n_arm,d1,d2,d3,period_blocks,p0,OR1,OR2,OR3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,fix,0.748
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,sep,0.748
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,pool,0.748
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,timemachine,0.647
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,MAPprior,0.748
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,fix,0.769
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,sep,0.769
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,pool,0.769
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,timemachine,0.646
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,MAPprior,0.769
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,fix,0.82
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,sep,0.772
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,pool,0.97
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,timemachine,0.652
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,MAPprior,0.846
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,fix,0.787
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,sep,0.776
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,pool,0.994
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,timemachine,0.653
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,MAPprior,0.828
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,fix,0.772
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,sep,0.772
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,pool,0.953
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,timemachine,0.588
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,MAPprior,0.815
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,fix,0.769
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,sep,0.769
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,pool,0.991
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,timemachine,0.591
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,MAPprior,0.832
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,fix,0.778
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,sep,0.778
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,pool,0.778
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,timemachine,0.632
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,MAPprior,0.778
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,fix,0.788
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,sep,0.788
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,pool,0.788
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,timemachine,0.632
3,100,0,0,0,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,MAPprior,0.788
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,fix,0.789
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,sep,0.777
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,pool,0.965
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,timemachine,0.828
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,MAPprior,0.841
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,fix,0.783
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,sep,0.788
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,pool,0.99
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,timemachine,0.83
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,MAPprior,0.83
