num_arms,n_arm,d1,d2,d3,d4,period_blocks,p0,OR1,OR2,OR3,OR4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,fix,0.097
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,sep,0.085
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,pool,0.441
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,timemachine,0.668
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,MAPprior,0.128
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,fix,0.086
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,sep,0.082
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,pool,0.611
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,timemachine,0.669
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,MAPprior,0.118
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,fix,0.123
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,sep,0.127
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,pool,0.747
