num_arms,n_arm,d1,d2,d3,d4,period_blocks,p0,OR1,OR2,OR3,OR4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,fix,0.769
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,sep,0.736
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,pool,0.977
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,timemachine,0.644
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,MAPprior,0.801
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,fix,0.781
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,sep,0.746
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,pool,0.993
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,timemachine,0.645
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,MAPprior,0.792
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,4,fix,0.765
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,4,sep,0.741
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,4,pool,0.996
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,4,timemachine,0.647
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,4,MAPprior,0.785
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,fix,0.786
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,sep,0.74
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,pool,0.949
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,timemachine,0.664
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,2,MAPprior,0.815
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,fix,0.809
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,sep,0.781
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,pool,0.991
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,timemachine,0.67
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,3,MAPprior,0.827
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,4,fix,0.791
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,4,sep,0.789
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H1,4,pool,0.994
